routeId,weather_start,weather_category,total_alerts
1,2013-03-01 05:00:00+00:00,Clear,1
1,2013-03-20 05:00:00+00:00,Clear,1
1,2013-03-25 05:00:00+00:00,Cloudy/Other,1
1,2013-03-28 05:00:00+00:00,Clear,1
1,2014-01-06 08:00:00+00:00,Rain,1
1,2014-08-12 17:00:00+00:00,Cloudy/Other,1
1,2016-01-23 16:00:00+00:00,Snow,1
1,2016-01-23 22:00:00+00:00,Snow,1
1,2016-02-05 08:00:00+00:00,Snow,1
1,2016-02-08 12:00:00+00:00,Cloudy/Other,1
1,2016-09-03 13:00:00+00:00,Cloudy/Other,1
1,2017-02-09 09:00:00+00:00,Snow,2
1,2017-03-14 02:00:00+00:00,Cloudy/Other,2
1,2018-01-03 20:00:00+00:00,Clear,2
1,2018-01-04 12:00:00+00:00,Snow,1
1,2019-02-12 10:00:00+00:00,Rain,1
1,2019-06-01 00:00:00+00:00,Clear,1
1,2019-07-31 17:00:00+00:00,Clear,1
2,2014-01-06 08:00:00+00:00,Rain,1
2,2014-02-03 21:00:00+00:00,Snow,1
2,2014-08-12 17:00:00+00:00,Cloudy/Other,1
2,2016-01-23 16:00:00+00:00,Snow,1
2,2016-01-23 22:00:00+00:00,Snow,1
2,2016-02-05 08:00:00+00:00,Snow,1
2,2016-02-08 12:00:00+00:00,Cloudy/Other,1
2,2017-02-09 09:00:00+00:00,Snow,2
2,2017-03-14 02:00:00+00:00,Cloudy/Other,2
2,2018-01-03 20:00:00+00:00,Clear,2
2,2018-01-03 23:00:00+00:00,Cloudy/Other,1
2,2018-01-04 12:00:00+00:00,Snow,1
2,2018-01-12 16:00:00+00:00,Rain,1
2,2018-03-07 22:00:00+00:00,Snow,1
2,2019-02-12 10:00:00+00:00,Rain,1
2,2019-03-02 06:00:00+00:00,Snow,1
2,2019-06-01 00:00:00+00:00,Clear,1
2,2019-07-31 17:00:00+00:00,Clear,1
3,2014-01-06 08:00:00+00:00,Rain,1
3,2014-02-03 21:00:00+00:00,Snow,1
3,2014-08-12 17:00:00+00:00,Cloudy/Other,1
3,2016-01-23 15:00:00+00:00,Snow,1
3,2016-01-23 16:00:00+00:00,Snow,1
3,2016-01-23 22:00:00+00:00,Snow,1
3,2016-01-26 00:00:00+00:00,Clear,1
3,2016-02-05 08:00:00+00:00,Snow,1
3,2016-02-08 12:00:00+00:00,Cloudy/Other,1
3,2016-09-05 00:00:00+00:00,Clear,1
3,2017-02-09 09:00:00+00:00,Snow,2
3,2017-03-14 02:00:00+00:00,Cloudy/Other,2
3,2018-01-03 20:00:00+00:00,Clear,2
3,2018-01-03 23:00:00+00:00,Cloudy/Other,1
3,2018-01-04 12:00:00+00:00,Snow,1
3,2018-01-07 23:00:00+00:00,Clear,1
3,2018-01-12 16:00:00+00:00,Rain,1
3,2018-03-07 22:00:00+00:00,Snow,1
3,2018-03-21 00:00:00+00:00,Cloudy/Other,1
3,2019-02-12 10:00:00+00:00,Rain,1
3,2019-07-31 17:00:00+00:00,Clear,1
4,2012-12-28 22:00:00+00:00,Clear,1
4,2013-03-01 05:00:00+00:00,Clear,1
4,2013-03-20 05:00:00+00:00,Clear,1
4,2013-03-25 05:00:00+00:00,Cloudy/Other,1
4,2013-03-28 05:00:00+00:00,Clear,1
4,2014-01-06 08:00:00+00:00,Rain,1
4,2014-01-07 22:00:00+00:00,Clear,1
4,2014-02-03 21:00:00+00:00,Snow,1
4,2014-08-12 17:00:00+00:00,Cloudy/Other,1
4,2016-01-22 21:00:00+00:00,Cloudy/Other,1
4,2016-01-23 16:00:00+00:00,Snow,1
4,2016-01-23 22:00:00+00:00,Snow,1
4,2016-01-25 21:00:00+00:00,Cloudy/Other,2
4,2016-02-05 08:00:00+00:00,Snow,1
4,2016-02-08 12:00:00+00:00,Cloudy/Other,1
4,2017-02-09 09:00:00+00:00,Snow,2
4,2017-02-09 21:00:00+00:00,Clear,1
4,2017-03-14 02:00:00+00:00,Cloudy/Other,2
4,2018-01-03 20:00:00+00:00,Clear,2
4,2018-01-04 06:00:00+00:00,Snow,1
4,2018-01-04 12:00:00+00:00,Snow,1
4,2018-01-04 22:00:00+00:00,Snow,1
4,2018-01-05 23:00:00+00:00,Clear,1
4,2018-01-06 11:00:00+00:00,Clear,1
4,2018-01-12 16:00:00+00:00,Rain,1
4,2018-03-07 21:00:00+00:00,Snow,1
4,2018-12-21 07:00:00+00:00,Rain,1
4,2019-02-12 10:00:00+00:00,Rain,1
4,2019-03-02 06:00:00+00:00,Snow,1
4,2019-03-02 09:00:00+00:00,Snow,1
4,2019-06-20 18:00:00+00:00,Rain,2
4,2019-07-31 17:00:00+00:00,Clear,1
42 St Shuttle,2012-10-28 18:00:00+00:00,Cloudy/Other,1
42 St Shuttle,2017-02-09 09:00:00+00:00,Snow,2
42 St Shuttle,2017-03-14 02:00:00+00:00,Cloudy/Other,2
42 St Shuttle,2018-01-04 12:00:00+00:00,Snow,1
42 St Shuttle,2019-02-12 10:00:00+00:00,Rain,1
5,2013-02-08 17:00:00+00:00,Snow,1
5,2013-03-01 05:00:00+00:00,Clear,1
5,2013-03-20 05:00:00+00:00,Clear,1
5,2013-03-25 05:00:00+00:00,Cloudy/Other,1
5,2013-03-28 05:00:00+00:00,Clear,1
5,2014-01-06 08:00:00+00:00,Rain,1
5,2014-02-03 21:00:00+00:00,Snow,1
5,2014-08-12 17:00:00+00:00,Cloudy/Other,1
5,2015-01-27 09:00:00+00:00,Snow,1
5,2016-01-23 13:00:00+00:00,Snow,1
5,2016-01-23 16:00:00+00:00,Snow,2
5,2016-01-23 22:00:00+00:00,Snow,1
5,2016-01-25 21:00:00+00:00,Cloudy/Other,1
5,2016-02-05 08:00:00+00:00,Snow,1
5,2016-02-08 12:00:00+00:00,Cloudy/Other,1
5,2017-02-09 09:00:00+00:00,Snow,2
5,2017-02-09 21:00:00+00:00,Clear,1
5,2017-03-14 02:00:00+00:00,Cloudy/Other,2
5,2018-01-03 20:00:00+00:00,Clear,2
5,2018-01-04 06:00:00+00:00,Snow,1
5,2018-01-04 12:00:00+00:00,Snow,1
5,2018-01-04 22:00:00+00:00,Snow,1
5,2018-01-05 23:00:00+00:00,Clear,1
5,2018-01-06 11:00:00+00:00,Clear,1
5,2018-01-12 16:00:00+00:00,Rain,1
5,2018-01-15 06:00:00+00:00,Cloudy/Other,1
5,2018-03-02 11:00:00+00:00,Rain,1
5,2018-03-02 13:00:00+00:00,Snow,1
5,2018-03-07 19:00:00+00:00,Snow,1
5,2019-02-12 10:00:00+00:00,Rain,1
5,2019-03-02 06:00:00+00:00,Snow,1
5,2019-06-20 18:00:00+00:00,Rain,2
5,2019-07-31 17:00:00+00:00,Clear,1
6,2013-02-08 18:00:00+00:00,Snow,1
6,2014-01-03 06:00:00+00:00,Snow,1
6,2014-01-06 08:00:00+00:00,Rain,1
6,2014-01-06 20:00:00+00:00,Rain,1
6,2014-01-07 08:00:00+00:00,Clear,1
6,2014-01-07 19:00:00+00:00,Clear,1
6,2014-02-03 10:00:00+00:00,Snow,1
6,2014-08-12 17:00:00+00:00,Cloudy/Other,1
6,2015-01-27 09:00:00+00:00,Snow,1
6,2015-02-02 13:00:00+00:00,Rain,1
6,2016-01-23 16:00:00+00:00,Snow,1
6,2016-01-25 21:00:00+00:00,Cloudy/Other,1
6,2016-02-05 08:00:00+00:00,Snow,1
6,2016-02-08 12:00:00+00:00,Cloudy/Other,1
6,2016-09-02 18:00:00+00:00,Cloudy/Other,2
6,2017-02-09 07:00:00+00:00,Cloudy/Other,1
6,2017-02-09 09:00:00+00:00,Snow,2
6,2017-03-14 02:00:00+00:00,Cloudy/Other,2
6,2018-01-03 19:00:00+00:00,Clear,1
6,2018-01-03 20:00:00+00:00,Clear,2
6,2018-01-04 05:00:00+00:00,Cloudy/Other,1
6,2018-01-04 07:00:00+00:00,Snow,1
6,2018-01-04 12:00:00+00:00,Snow,1
6,2018-01-04 20:00:00+00:00,Snow,1
6,2018-01-05 06:00:00+00:00,Clear,1
6,2018-01-15 06:00:00+00:00,Cloudy/Other,1
6,2018-03-07 18:00:00+00:00,Snow,1
6,2018-03-08 07:00:00+00:00,Clear,1
6,2018-03-22 05:00:00+00:00,Snow,1
6,2018-07-17 16:00:00+00:00,Rain,1
6,2019-01-31 08:00:00+00:00,Clear,1
6,2019-02-12 10:00:00+00:00,Rain,1
6,2019-03-02 06:00:00+00:00,Snow,1
6,2019-03-02 11:00:00+00:00,Snow,1
6,2019-03-04 07:00:00+00:00,Snow,1
6,2019-06-20 18:00:00+00:00,Rain,2
6,2019-07-31 17:00:00+00:00,Clear,1
6,2019-09-26 17:00:00+00:00,Clear,1
6,2019-09-28 21:00:00+00:00,Clear,1
6,2019-10-25 12:00:00+00:00,Cloudy/Other,1
7,2013-02-08 09:00:00+00:00,Cloudy/Other,1
7,2014-01-03 08:00:00+00:00,Snow,1
7,2014-01-06 08:00:00+00:00,Rain,1
7,2015-01-27 09:00:00+00:00,Snow,1
7,2016-01-23 16:00:00+00:00,Snow,1
7,2016-02-05 08:00:00+00:00,Snow,1
7,2016-02-08 12:00:00+00:00,Cloudy/Other,1
7,2017-02-09 09:00:00+00:00,Snow,2
7,2017-03-14 02:00:00+00:00,Cloudy/Other,2
7,2017-05-25 16:00:00+00:00,Rain,1
7,2018-01-03 20:00:00+00:00,Clear,2
7,2018-01-04 12:00:00+00:00,Snow,1
7,2018-01-07 07:00:00+00:00,Clear,1
7,2018-03-07 17:00:00+00:00,Snow,1
7,2018-03-22 02:00:00+00:00,Snow,1
7,2018-08-22 19:00:00+00:00,Clear,1
7,2019-01-20 19:00:00+00:00,Clear,1
7,2019-02-12 10:00:00+00:00,Rain,1
7,2019-07-23 08:00:00+00:00,Rain,1
7,2019-12-11 05:00:00+00:00,Rain,1
A,2013-01-22 10:00:00+00:00,Clear,1
A,2014-01-07 20:00:00+00:00,Clear,1
A,2014-01-16 00:00:00+00:00,Cloudy/Other,1
A,2014-02-03 11:00:00+00:00,Snow,1
A,2014-02-03 20:00:00+00:00,Snow,1
A,2014-02-03 21:00:00+00:00,Snow,1
A,2014-02-13 21:00:00+00:00,Snow,1
A,2015-01-27 09:00:00+00:00,Snow,1
A,2016-01-23 13:00:00+00:00,Snow,1
A,2016-01-23 16:00:00+00:00,Snow,1
A,2016-02-05 08:00:00+00:00,Snow,1
A,2016-02-07 19:00:00+00:00,Cloudy/Other,1
A,2016-02-08 12:00:00+00:00,Cloudy/Other,1
A,2016-09-02 18:00:00+00:00,Cloudy/Other,2
A,2016-09-03 00:00:00+00:00,Cloudy/Other,1
A,2016-09-04 12:00:00+00:00,Clear,1
A,2016-09-05 08:00:00+00:00,Cloudy/Other,1
A,2017-02-09 09:00:00+00:00,Snow,2
A,2017-03-14 02:00:00+00:00,Cloudy/Other,2
A,2018-01-03 20:00:00+00:00,Clear,2
A,2018-01-04 12:00:00+00:00,Snow,1
A,2018-01-04 21:00:00+00:00,Snow,1
A,2018-03-07 20:00:00+00:00,Snow,1
A,2018-03-07 21:00:00+00:00,Snow,1
A,2019-01-26 08:00:00+00:00,Clear,1
A,2019-01-31 08:00:00+00:00,Clear,1
A,2019-02-12 10:00:00+00:00,Rain,1
A,2019-03-02 06:00:00+00:00,Snow,1
A,2019-12-05 06:00:00+00:00,Clear,1
B,2013-02-08 17:00:00+00:00,Snow,1
B,2014-01-06 21:00:00+00:00,Rain,1
B,2014-01-07 21:00:00+00:00,Clear,1
B,2014-02-03 21:00:00+00:00,Snow,1
B,2014-02-13 21:00:00+00:00,Snow,1
B,2015-01-27 09:00:00+00:00,Snow,1
B,2016-01-22 19:00:00+00:00,Cloudy/Other,1
B,2016-01-25 08:00:00+00:00,Clear,1
B,2016-01-26 06:00:00+00:00,Cloudy/Other,1
B,2016-01-26 07:00:00+00:00,Clear,1
B,2016-02-05 08:00:00+00:00,Snow,1
B,2016-02-07 19:00:00+00:00,Cloudy/Other,3
B,2016-02-07 20:00:00+00:00,Cloudy/Other,1
B,2016-02-08 12:00:00+00:00,Cloudy/Other,1
B,2016-11-21 18:00:00+00:00,Cloudy/Other,1
B,2017-02-09 09:00:00+00:00,Snow,2
B,2017-02-09 20:00:00+00:00,Snow,1
B,2017-03-14 02:00:00+00:00,Cloudy/Other,2
B,2018-01-03 20:00:00+00:00,Clear,3
B,2018-01-04 12:00:00+00:00,Snow,1
B,2018-01-04 18:00:00+00:00,Snow,1
B,2018-01-05 08:00:00+00:00,Clear,1
B,2018-03-21 17:00:00+00:00,Snow,1
B,2019-02-12 10:00:00+00:00,Rain,1
B,2019-02-20 18:00:00+00:00,Snow,1
B,2019-02-25 09:00:00+00:00,Clear,1
B,2019-02-25 16:00:00+00:00,Cloudy/Other,1
B,2019-08-13 06:00:00+00:00,Rain,1
B,2019-12-05 06:00:00+00:00,Clear,1
B1,2016-01-24 08:00:00+00:00,Clear,1
B100,2016-01-24 08:00:00+00:00,Clear,1
B103-LTD,2016-01-24 08:00:00+00:00,Clear,1
B11,2016-01-24 08:00:00+00:00,Clear,1
B12,2016-01-24 08:00:00+00:00,Clear,1
B13,2016-01-24 08:00:00+00:00,Clear,1
B14,2016-01-24 08:00:00+00:00,Clear,1
B15,2016-01-24 08:00:00+00:00,Clear,1
B16,2016-01-24 08:00:00+00:00,Clear,1
B17,2016-01-24 08:00:00+00:00,Clear,1
B2,2016-01-24 08:00:00+00:00,Clear,1
B20,2016-01-24 08:00:00+00:00,Clear,1
B24,2016-01-24 08:00:00+00:00,Clear,1
B25,2016-01-24 08:00:00+00:00,Clear,1
B26,2016-01-24 08:00:00+00:00,Clear,1
B3,2016-01-24 08:00:00+00:00,Clear,1
B31,2016-01-24 08:00:00+00:00,Clear,1
B32,2016-01-24 08:00:00+00:00,Clear,1
B35,2016-01-24 08:00:00+00:00,Clear,1
B35-LTD,2016-01-24 08:00:00+00:00,Clear,1
B36,2016-01-24 08:00:00+00:00,Clear,1
B37,2016-01-24 08:00:00+00:00,Clear,1
B38,2016-01-24 08:00:00+00:00,Clear,1
B38-LTD,2016-01-24 08:00:00+00:00,Clear,1
B39,2016-01-24 08:00:00+00:00,Clear,1
B4,2016-01-24 08:00:00+00:00,Clear,1
B41,2016-01-24 08:00:00+00:00,Clear,1
B41-LTD,2016-01-24 08:00:00+00:00,Clear,1
B42,2016-01-24 08:00:00+00:00,Clear,1
B43,2016-01-24 08:00:00+00:00,Clear,1
B44,2016-01-24 08:00:00+00:00,Clear,1
B44+,2016-01-24 08:00:00+00:00,Clear,1
B45,2016-01-24 08:00:00+00:00,Clear,1
B46,2016-01-24 08:00:00+00:00,Clear,1
B46-SBS,2016-01-24 08:00:00+00:00,Clear,1
B47,2016-01-24 08:00:00+00:00,Clear,1
B48,2016-01-24 08:00:00+00:00,Clear,1
B49,2016-01-24 08:00:00+00:00,Clear,1
B49-LTD,2016-01-24 08:00:00+00:00,Clear,1
B52,2016-01-24 08:00:00+00:00,Clear,1
B54,2016-01-24 08:00:00+00:00,Clear,1
B57,2016-01-24 08:00:00+00:00,Clear,1
B6,2016-01-24 08:00:00+00:00,Clear,1
B6-SBS,2016-01-24 08:00:00+00:00,Clear,1
B60,2016-01-24 08:00:00+00:00,Clear,1
B61,2016-01-24 08:00:00+00:00,Clear,1
B62,2016-01-24 08:00:00+00:00,Clear,1
B63,2016-01-24 08:00:00+00:00,Clear,1
